E_Ha,DOS,Occupation,E_eV,E_minus_EF
0.11379979,0.00035,0.07,3.0966500404023227,-7.5071577285251765
0.11479979,0.00045,0.09,3.1238614266483107,-7.479946342279188
0.11579979,0.00033,0.066,3.1510728128942986,-7.452734956033201
0.11679979,0.00018,0.036,3.1782841991402866,-7.425523569787213
0.11779979,0.00036,0.072,3.2054955853862745,-7.398312183541225
0.11879979,0.00024,0.048,3.2327069716322625,-7.371100797295236
0.11979979,0.0006,0.12,3.259918357878251,-7.343889411049249
0.12079979,0.00033,0.066,3.287129744124239,-7.31667802480326
0.12179979,0.00063,0.126,3.314341130370227,-7.289466638557272
0.12279979,0.00012,0.024,3.3415525166162148,-7.262255252311284
0.12379979,0.0003,0.06,3.3687639028622027,-7.235043866065297
0.12479979,0.00051,0.102,3.3959752891081902,-7.207832479819309
0.12579979,0.00069,0.138,3.4231866753541786,-7.18062109357332
0.12679979,0.00033,0.066,3.4503980616001666,-7.153409707327333
0.12779979,0.00054,0.108,3.4776094478461546,-7.126198321081345
0.12879979,0.00045,0.09,3.5048208340921425,-7.098986934835357
0.12979979,0.00054,0.108,3.5320322203381305,-7.071775548589368
0.13079979,0.00084,0.168,3.5592436065841184,-7.044564162343381
0.13179979,0.00066,0.132,3.5864549928301064,-7.017352776097393
0.13279979,0.00051,0.102,3.613666379076095,-6.990141389851404
0.13379979,0.00048,0.096,3.6408777653220827,-6.9629300036054165
0.13479979,0.00108,0.216,3.6680891515680707,-6.935718617359429
0.13579979,0.00066,0.132,3.6953005378140587,-6.908507231113441
0.13679979,0.00078,0.156,3.7225119240600466,-6.881295844867452
0.13779979,0.00081,0.162,3.7497233103060346,-6.854084458621465
0.13879979,0.00072,0.144,3.776934696552023,-6.826873072375476
0.13979979,0.00123,0.246,3.804146082798011,-6.799661686129488
0.14079979,0.0012,0.24,3.831357469043999,-6.7724502998835
0.14179979,0.00069,0.138,3.858568855289987,-6.745238913637513
0.14279979,0.00081,0.162,3.885780241535975,-6.718027527391524
0.14379979,0.00129,0.258,3.9129916277819627,-6.690816141145536
0.14479979,0.00099,0.198,3.9402030140279507,-6.6636047548995485
0.14579979,0.00117,0.234,3.967414400273939,-6.63639336865356
0.14679979,0.00114,0.228,3.994625786519927,-6.609181982407572
0.14779979,0.00075,0.15,4.021837172765914,-6.581970596161585
0.14879979,0.00102,0.204,4.0490485590119025,-6.554759209915597
0.14979979,0.00099,0.198,4.07625994525789,-6.527547823669609
0.15079979,0.00126,0.252,4.103471331503878,-6.500336437423621
0.15179979,0.00081,0.162,4.130682717749866,-6.473125051177633
0.15279979,0.00108,0.216,4.157894103995854,-6.445913664931645
0.15379979,0.00057,0.114,4.185105490241843,-6.4187022786856565
0.15479979,0.00081,0.162,4.21231687648783,-6.391490892439669
0.15579979,0.00123,0.246,4.239528262733819,-6.3642795061936805
0.15679979,0.00114,0.228,4.266739648979806,-6.337068119947693
0.15779979,0.00057,0.114,4.293951035225795,-6.309856733701705
0.15879979,0.00093,0.186,4.321162421471782,-6.282645347455717
0.15979979,0.00084,0.168,4.3483738077177705,-6.255433961209729
0.16079979,0.00063,0.126,4.375585193963759,-6.22822257496374
0.16179979,0.00102,0.204,4.402796580209746,-6.201011188717753
0.16279979,0.00114,0.228,4.430007966455735,-6.173799802471764
0.16379979,0.00108,0.216,4.457219352701722,-6.146588416225777
0.16479979,0.0006,0.12,4.484430738947711,-6.1193770299797885
0.16579979,0.00084,0.168,4.511642125193698,-6.092165643733801
0.16679979,0.00045,0.09,4.538853511439687,-6.064954257487813
0.16779979,0.00072,0.144,4.566064897685675,-6.037742871241824
0.16879979,0.00096,0.192,4.5932762839316625,-6.010531484995837
0.16979979,0.00114,0.228,4.620487670177651,-5.983320098749848
0.17079979,0.00048,0.096,4.6476990564236385,-5.956108712503861
0.17179979,0.00045,0.09,4.674910442669627,-5.928897326257872
0.17279979,0.00057,0.114,4.702121828915614,-5.901685940011885
0.17379979,0.00051,0.102,4.729333215161603,-5.8744745537658964
0.17479979,0.00066,0.132,4.756544601407591,-5.847263167519908
0.17579979,0.00051,0.102,4.783755987653579,-5.8200517812739205
0.17679979,0.00075,0.15,4.810967373899567,-5.792840395027932
0.17779979,0.00096,0.192,4.838178760145555,-5.765629008781945
0.17879979,0.0009,0.18,4.865390146391542,-5.738417622535957
0.17979979,0.00087,0.174,4.8926015326375305,-5.711206236289969
0.18079979,0.00111,0.222,4.919812918883518,-5.683994850043981
0.18179979,0.00102,0.204,4.947024305129506,-5.656783463797993
0.18279979,0.00045,0.09,4.974235691375494,-5.629572077552005
0.18379979,0.00084,0.168,5.001447077621482,-5.602360691306017
0.18479979,0.00108,0.216,5.028658463867471,-5.5751493050600285
0.18579979,0.00096,0.192,5.055869850113458,-5.547937918814041
0.18679979,0.00129,0.258,5.083081236359447,-5.520726532568053
0.18779979,0.0012,0.24,5.110292622605434,-5.493515146322065
0.18879979,0.00066,0.132,5.1375040088514226,-5.466303760076077
0.18979979,0.00102,0.204,5.16471539509741,-5.439092373830089
0.19079979,0.00114,0.228,5.1919267813433985,-5.411880987584101
0.19179979,0.00093,0.186,5.219138167589387,-5.384669601338112
0.19279979,0.00135,0.27,5.246349553835374,-5.357458215092125
0.19379979,0.00096,0.192,5.273560940081363,-5.330246828846136
0.19479979,0.00078,0.156,5.30077232632735,-5.303035442600149
0.19579979,0.00126,0.252,5.327983712573339,-5.2758240563541605
0.19679979,0.00099,0.198,5.355195098819326,-5.248612670108173
0.19779979,0.00081,0.162,5.382406485065315,-5.221401283862185
0.19879979,0.00087,0.174,5.409617871311303,-5.194189897616196
0.19979979,0.00162,0.324,5.4368292575572905,-5.166978511370209
0.20079979,0.00129,0.258,5.464040643803279,-5.13976712512422
0.20179979,0.00093,0.186,5.491252030049266,-5.112555738878233
0.20279979,0.00118,0.236,5.518463416295255,-5.085344352632244
0.20379979,0.00076,0.152,5.545674802541242,-5.058132966386257
0.20479979,0.00093,0.186,5.572886188787231,-5.0309215801402685
0.20579979,0.00136,0.272,5.600097575033219,-5.00371019389428
0.20679979,0.00126,0.252,5.627308961279207,-4.9764988076482926
0.20779979,0.00075,0.15,5.654520347525195,-4.949287421402304
0.20879979,0.00123,0.246,5.681731733771183,-4.922076035156317
0.20979979,0.00129,0.258,5.708943120017171,-4.894864648910328
0.21079979,0.00134,0.268,5.7361545062631585,-4.867653262664341
0.21179979,0.00138,0.276,5.763365892509146,-4.840441876418353
0.21279979,0.0015,0.3,5.790577278755134,-4.813230490172365
0.21379979,0.00116,0.232,5.817788665001122,-4.786019103926377
0.21479979,0.00105,0.21,5.84500005124711,-4.758807717680389
0.21579979,0.00159,0.318,5.872211437493099,-4.7315963314344005
0.21679979,0.0013,0.26,5.899422823739086,-4.704384945188413
0.21779979,0.00135,0.27,5.926634209985075,-4.677173558942425
0.21879979,0.00165,0.33,5.953845596231062,-4.649962172696437
0.21979979,0.00167,0.334,5.9810569824770505,-4.622750786450449
0.22079979,0.00242,0.484,6.008268368723038,-4.595539400204461
0.22179979,0.00206,0.412,6.0354797549690264,-4.568328013958473
0.22279979,0.00183,0.366,6.062691141215015,-4.541116627712484
0.22379979,0.00183,0.366,6.089902527461002,-4.513905241466497
0.22479979,0.0015,0.3,6.117113913706991,-4.4866938552205085
0.22579979,0.00168,0.336,6.144325299952978,-4.459482468974521
0.22679979,0.00129,0.258,6.171536686198967,-4.4322710827285325
0.22779979,0.00114,0.228,6.198748072444954,-4.405059696482545
0.22879979,0.00078,0.156,6.225959458690943,-4.377848310236557
0.22979979,0.00108,0.216,6.253170844936931,-4.350636923990568
0.23079979,0.00159,0.318,6.2803822311829185,-4.323425537744581
0.23179979,0.00081,0.162,6.307593617428907,-4.296214151498592
0.23279979,0.00099,0.198,6.334805003674894,-4.269002765252605
0.23379979,0.00066,0.132,6.362016389920883,-4.241791379006616
0.23479979,0.00073,0.146,6.38922777616687,-4.214579992760629
